"ID","Date","NDVI","Satellite"
80244,2018-09-04,0.812128418549346,"L8"
80244,2018-09-04,0.813567362428843,"L8"
80244,2018-10-22,0.317282889079966,"L8"
80244,2018-10-22,0.321595598349381,"L8"
80244,2018-11-23,0.326530612244898,"L8"
80244,2018-11-23,0.333150384193194,"L8"
80614,2018-01-01,-0.0307358880898434,"L8"
80614,2018-02-02,-0.0626802246167856,"L8"
80614,2018-02-09,-0.0151739452257587,"L8"
80614,2018-03-13,-0.0519930675909879,"L8"
80614,2018-04-07,0.225084745762712,"L8"
80614,2018-04-23,0.304347826086957,"L8"
80614,2018-05-16,0.263039399624766,"L8"
80614,2018-05-25,0.272799681401832,"L8"
80614,2018-06-01,0.298357664233577,"L8"
80614,2018-07-12,0.836363636363636,"L8"
80614,2018-07-28,0.8449876823953,"L8"
80614,2018-08-13,0.881519639407598,"L8"
80614,2018-08-29,0.876484560570071,"L8"
80614,2018-09-14,0.499383477188656,"L8"
80614,2018-10-16,0.255730337078652,"L8"
80614,2018-10-23,0.266094420600858,"L8"
80614,2018-11-01,0.227529309596179,"L8"
80614,2018-12-16,-0.0200379925240517,"S2"
80614,2018-12-16,-0.0224778449439522,"S2"
80799,2018-03-05,0.19990480723465,"L8"
80799,2018-03-21,0.199272065514104,"L8"
80799,2018-04-06,-0.0143031784841076,"L8"
80799,2018-04-22,0.206647714848021,"L8"
80799,2018-04-29,0.223226389516493,"L8"
80799,2018-05-08,0.253580083718881,"L8"
80799,2018-05-24,0.258584145824502,"L8"
80799,2018-06-25,0.692996934685216,"L8"
80799,2018-07-11,0.864720014784698,"L8"
80799,2018-07-18,0.924322357649627,"L8"
80799,2018-07-27,0.904173106646059,"L8"
80799,2018-08-19,0.826189912384561,"L8"
80799,2018-09-04,0.858093126385809,"L8"
80799,2018-09-29,0.470165348670022,"L8"
80799,2018-10-22,0.291392136025505,"L8"
80799,2018-12-18,0.192483494159472,"L8"
80799,2018-12-25,0.200195790504161,"L8"
93689,2019-01-03,0.33972602739726,"S2"
93689,2019-01-06,0.259038142620232,"S2"
93689,2019-01-08,0.278222869628551,"S2"
93689,2019-02-02,0.477178423236515,"S2"
93689,2019-02-25,0.253968253968254,"S2"
93689,2019-03-04,0.146373626373626,"S2"
93689,2019-03-06,0.234678624813154,"L8"
93689,2019-03-06,0.238757763975155,"L8"
93689,2019-03-14,0.222434671765456,"S2"
93689,2019-03-17,0.269914417379855,"S2"
93689,2019-03-19,0.22040922040922,"S2"
93689,2019-03-22,0.26796992481203,"S2"
93689,2019-03-22,0.274895262649049,"L8"
93689,2019-03-22,0.272727272727273,"L8"
93689,2019-03-27,0.263916931064321,"S2"
93689,2019-04-01,0.264005151320026,"S2"
93689,2019-04-03,0.239937736268623,"S2"
93689,2019-04-06,0.232921810699588,"S2"
93689,2019-04-16,0.245202558635394,"S2"
93689,2019-04-21,0.267733172351343,"S2"
93689,2019-04-23,0.251667078290936,"S2"
